"","Name","Birth_Date","Age","Birth_Place","Country","Height","Weight","Association","Class","Fighter_id","NickName","Feet","Inch"
"1183","Emily Kagan",1981-07-14,"37","Albuquerque, New Mexico","United States",5,"4","Jackson-Wink MMA","Strawweight","character(0)","character(0)","5","3"
"1184","Leo Kuntz",1983-10-03,"35","Linton, North Dakota","United States",12,"29","American Top Team","Lightweight","The Lion","The Lion","5","10"
"1185","Steve Montgomery",1990-12-19,"27","Boca Raton, Florida","United States",18,"50","American Top Team","Middleweight","The Creepy Weasel","The Creepy Weasel","6","4"
"1186","Steve Kennedy",1983-03-07,"35","Perth, Western Australia","Australia",14,"38","Kickass MMA","Welterweight","The Steamrolla","The Steamrolla","6","0"
"1187","Bruno Rodrigues Mesquita",1991-06-28,"27","Rio de Janeiro, Rio de Janeiro","Brazil",8,"9","Tata Fight Team","Flyweight","Korea","Korea","5","6"
"1188","Ericka Almeida",1989-03-05,"29","Sorocaba, Sao Paulo","Brazil",8,"14","Team Nogueira / X-Gym / Herman Gutierrez Team","Bantamweight","character(0)","character(0)","5","6"
"1189","Bubba Bush",1985-07-24,"33","College Station, Texas","United States",14,"50","Brazos Valley MMA","Middleweight","The Fightin' Texas Aggie","The Fightin' Texas Aggie","6","0"
"1190","Naoyuki Kotani",1981-12-08,"36","Yokohama, Kanagawa","Japan",10,"29","Rodeo Style","Lightweight","character(0)","character(0)","5","8"
"1191","Roger Zapata",1986-05-09,"32","New York, New York","United States",13,"38","Bruno Tostes BJJ","Welterweight","Viva","Viva","5","11"
"1192","Nazareno Malegarie",1986-05-16,"32","Arrecifes, Buenos Aires","Argentina",10,"20","Team Tavares","Featherweight","El Tigre","El Tigre","5","8"
"1193","Anthony Christodoulou",1987-07-30,"31","Glyfada, Attica","Greece",11,"29","Renzo Gracie Fight Academy","Lightweight","character(0)","character(0)","5","9"
"1194","Paul Redmond",1986-10-20,"31","Dublin, Leinster","Ireland",12,"29","Team Ryano MMA","Lightweight","Redser","Redser","5","10"
"1195","Darrell Montague",1987-11-03,"30","Chino, California","United States",8,"9","Millennia MMA","Flyweight","The Mongoose","The Mongoose","5","6"
"1196","Joe Merritt",1984-03-07,"34","Rancho Cucamonga, California","United States",14,"37","Millennia MMA","Welterweight","Joey Slash","Joey Slash","6","0"
"1197","Lewis Gonzalez",1987-09-19,"31","Turlock, California","United States",12,"41","MMAGOLD Fight Team","Middleweight","Lethal","Lethal","5","10"
"1198","Alan Omer",1988-09-14,"30","Erbil, Kurdistan Region","Iraq",11,"29","Stallion Cage","Lightweight","character(0)","character(0)","5","9"
"1199","Antonio dos Santos Jr.",1988-07-21,"30","Salvador, Bahia","Brazil",12,"38","Nordeste Jiu-Jitsu","Welterweight","Junior Alpha","Junior Alpha","5","10"
"1200","Leonardo Morales",1992-12-22,"25","Managua","Nicaragua",13,"16","Gladiadores MMA / Tsunami MMA",NA,"Chimmy","Chimmy","5","11"
"1201","Wendell de Oliveira Marques",1983-06-01,"35","Rio de Janeiro, Rio de Janeiro","Brazil",13,"38","X-Gym","Welterweight","War Machine / Negao","War Machine / Negao","5","11"
"1202","Luiz Jorge Dutra Jr.",1982-05-06,"36","Rio de Janeiro, Rio de Janeiro","Brazil",13,"38","Renovacao Fight Team","Welterweight","Besouro","Besouro","5","11"
"1203","Roldan Sangcha-an",1990-12-04,"27","Baguio, Cordillera Administrative Region","Philippines",6,"9","Lakay MMA","Flyweight","The Executioner","The Executioner","5","4"
"1204","Nolan Ticman",1988-05-17,"30","Palm Springs, California","United States",8,"9","Kings MMA","Flyweight","character(0)","character(0)","5","6"
"1205","Lisa Ellis",1982-11-15,"35","Olympia, Washington","United States",6,"1","United Training Center","Strawweight","character(0)","character(0)","5","4"
"1206","Izabela Badurek",1991-07-11,"27","Lublin","Poland",6,"9","WCA Fight Team","Flyweight","character(0)","character(0)","5","4"
"1207","Marcin Bandel",1989-10-10,"28","Lodz","Poland",12,"38","Zenith Vera Fight Club","Welterweight","Bomba","Bomba","5","10"
"1208","Justin Jones",1980-02-14,"38","San Diego, California","United States",13,"57","Victory MMA","Light Heavyweight","Black Dynamite","Black Dynamite","5","11"
"1209","Shayna Baszler",1980-08-08,"38","Sioux Falls, South Dakota","United States",9,"27","UWF USA","Lightweight","The Queen of Spades","The Queen of Spades","5","7"
"1210","Cain Carrizosa",1986-07-22,"32","Woodlake, California","United States",10,"29","Elite Team / Cleber Jiu-Jitsu / Central Valley Combat Academy","Lightweight","The Insane","The Insane","5","8"
"1211","Jorge Antonio Cezario de Oliveira",1980-01-22,"38","Nilopolis, Rio de Janeiro","Brazil",12,"38","Renovacao Fight Team","Welterweight","Blade","Blade","5","10"
"1212","Bentley Syler",1982-12-22,"35","Santa Cruz","Bolivia",6,"9","American Top Team","Flyweight","Dr. Bolivia","Dr. Bolivia","5","4"
"1213","Josh Copeland",1982-10-20,"35","Denver, Colorado","United States",15,"85","Grudge Training Center","Heavyweight","Cuddly Bear","Cuddly Bear","6","1"
"1214","Jake Lindsey",1986-06-21,"32","Manhattan, Kansas","United States",13,"38","Combative Sports Center","Welterweight","The Librarian","The Librarian","5","11"
"1215","Larissa Pacheco",1994-09-07,"24","Belem, Para","Brazil",10,"20","Tata Fight Team","Featherweight","character(0)","character(0)","5","8"
"1216","Norifumi Yamamoto",1977-03-15,"2018-09-18","Tokyo, Kato","Japan",6,"14","Krazy Bee","Bantamweight","Kid","Kid","5","4"
"1217","Ruan Potts",1978-02-23,"40","Cape Town, Western Cape","South Africa",16,"91","Mark Robinson MMA","Heavyweight","Fangzz","Fangzz","6","2"
"1218","Alex Torres",1988-05-29,"30","Bogota","Colombia",12,"20","Octagon MMA Colombia","Featherweight","Rolo","Rolo","5","10"
"1219","Josh Shockley",1989-11-15,"28","Lake Station, Indiana","United States",15,"29","Duneland Vale Tudo","Lightweight","character(0)","character(0)","6","1"
"1220","Rodrigo Goiana de Lima",1991-03-03,"27","Macapa, Amapa","Brazil",11,"38","Coalizao Fight Team / Frankiko Team / Trator Team","Welterweight","Monstro","Monstro","5","9"
"1221","Richardson Moreira",1984-03-31,"34","Campinas, Sao Paulo","Brazil",16,"57","Team Nogueira","Light Heavyweight","Rick Monstro","Rick Monstro","6","2"
"1222","Andy Enz",1991-08-15,"27","Anchorage, Alaska","United States",17,"50","Gracie Barra Alaska","Middleweight","Tank Mode","Tank Mode","6","3"
"1223","Shane Howell",1983-11-28,"34","Norman, Oklahoma","United States",10,"9","R-1 MMA","Flyweight","character(0)","character(0)","5","8"
"1224","Sean Soriano",1989-10-06,"28","Providence, Rhode Island","United States",11,"20","Hard Knocks 365","Featherweight","character(0)","character(0)","5","9"
"1225","Matt Van Buren",1986-06-12,"32","Norfolk, Virginia","United States",19,"57","Team Gutter","Light Heavyweight","Gutter","Gutter","6","5"
"1226","Tateki Matsuda",1986-02-27,"32","Boston, Massachusetts","United States",9,"9","Team Sityodtong","Flyweight","Tech","Tech","5","7"
"1227","Mats Nilsson",1983-12-05,"34","Helsingborg","Sweden",15,"50","Rumble Sports","Middleweight","character(0)","character(0)","6","1"
"1228","Alexis Dufresne",1990-08-31,"28","Temecula, California","United States",11,"24","Team Quest","Lightweight","Sneaky Zebra","Sneaky Zebra","5","9"
"1229","Mike Rhodes",1989-12-04,"28","Waterloo, Iowa","United States",15,"50","Roufusport","Middleweight","Biggie","Biggie","6","1"
"1230","Garett Whiteley",1980-12-13,"37","Indianapolis, Indiana","United States",14,"29","IndyBoxing and Grappling","Lightweight","character(0)","character(0)","6","0"
"1231","Juan Manuel Puig",1989-04-23,"29","Mexico City, Federal District","Mexico",11,"20","American Kickboxing Academy","Featherweight","Fenix","Fenix","5","9"
"1232","Chris Heatherly",1987-11-24,"30","Cahokia, Illinois","United States",10,"46","Fit or Fight","Middleweight","Stump","Stump","5","8"
"1233","Humberto Brown",1984-11-03,"33","Panama City","Panama",11,"20","Alley Cat Fight Team","Featherweight","character(0)","character(0)","5","9"
"1234","Rodolfo Rubio",1987-01-29,"31","Mexico City, Federal District","Mexico",7,"20","Entram Gym","Featherweight","Fito","Fito","5","5"
"1235","Tim Gorman",1983-04-29,"35","Des Moines, Iowa","United States",6,"14","Des Moines MMA Academy","Bantamweight","The Psycho","The Psycho","5","4"
"1236","Wagner Silva Gomes",1987-02-07,"31","Vicosa, Minas Gerais","Brazil",14,"50","Tata Fight Team","Middleweight","Wagnao","Wagnao","6","0"
"1237","Carlos Augusto Inocente Filho",1986-05-29,"32","Brasilia, Federal District","Brazil",17,"57","Blackzilians / Jaco Hybrid Training Center / RKT","Light Heavyweight","Guto","Guto","6","3"
"1238","Jumabieke Tuerxun",1986-04-17,"32","Xi'an, Shaanxi","China",9,"14","Xian Sports University","Bantamweight","The Wild Wolf","The Wild Wolf","5","7"
"1239","Takenori Sato",1985-06-08,"33","Akita","Japan",12,"29","Trinity Meidaimae","Lightweight","character(0)","character(0)","5","10"
"1240","Dashon Johnson",1988-01-25,"30","Escondido, California","United States",11,"29","Team Xplode MMA","Lightweight","Fly Boy","Fly Boy","5","9"
"1241","Aaron Phillips",1989-08-05,"29","Lafayette, Louisiana","United States",11,"14","Gladiators Academy","Bantamweight","The Model","The Model","5","9"
"1242","Danny Mitchell",1986-08-08,"32","Doncaster, Yorkshire","England",16,"38","AVT Fight Team","Welterweight","The Cheesecake Assassin","The Cheesecake Assassin","6","2"
"1243","Jack May",1981-04-14,"37","Chino Hills, California","United States",22,"93","CSW","Heavyweight","The Outlaw","The Outlaw","6","8"
"1244","Hernani Perpetuo",1985-05-24,"33","Rio de Janeiro, Rio de Janeiro","Brazil",14,"38","Nova Uniao","Welterweight","character(0)","character(0)","6","0"
"1245","Mike King",1983-08-04,"35","Perrysburg, Ohio","United States",17,"49","Buckeye MMA","Middleweight","character(0)","character(0)","6","3"
"1246","Tina Lahdemaki",1988-05-28,"30","Hyvinkaa, Uusimaa","Finland",4,"4","RNC Sport Club","Strawweight","Jelly Bean","Jelly Bean","5","2"
"1247","Jesse Ronson",1985-12-24,"32","London, Ontario","Canada",11,"38","Adrenaline Training Center","Welterweight","The Body Snatcher","The Body Snatcher","5","9"
"1248","Dan Spohn",1984-10-12,"33","Zanesville, Ohio","United States",18,"58","Cambridge Martial Arts","Light Heavyweight","Dragon","Dragon","6","4"
"1249","Guilherme Vasconcelos",1986-03-23,"32","Belo Horizonte, Minas Gerais","Brazil",14,"38","BH Rhinos","Welterweight","Bomba","Bomba","6","0"
"1250","Chris Indich",1987-04-22,"31","Perth, Western Australia","Australia",12,"38","The Arena MMA","Welterweight","character(0)","character(0)","5","10"
"1251","Bobby Voelker",1979-04-26,"39","Kansas City, Kansas","United States",14,"38","Glory MMA & Fitness","Welterweight","Vicious","Vicious","6","0"
"1252","Ben Wall",1989-03-25,"29","Brisbane, Queensland","Australia",12,"28","Alliance MMA / Ignite SC","Lightweight","Manimal","Manimal","5","10"
"1253","Estevan Payan",1982-04-03,"36","Tempe, Arizona","United States",12,"22","Arizona Combat Sports","Lightweight","El Terrible","El Terrible","5","10"
"1254","Will Campuzano",1986-05-27,"32","Mount Pleasant, Texas","United States",11,"9","Campuzano Martial Arts","Flyweight","character(0)","character(0)","5","9"
"1255","Albert Cheng",1985-02-07,"33","Mississauga, Ontario","Canada",13,"29","Evolucao Thai","Lightweight","character(0)","character(0)","5","11"
"1256","Ramiro Hernandez",1986-07-22,"32","Muscatine, Iowa","United States",11,"20","TSG Combat Sports","Featherweight","Junior","Junior","5","9"
"1257","Brian Houston",1987-04-26,"31","Omaha, Nebraska","United States",15,"50","Disorderly Conduct","Middleweight","B-Hue","B-Hue","6","1"
"1258","Shunichi Shimizu",1985-01-31,"33","Tokyo","Japan",8,"14","Uruno Dojo","Bantamweight","Rolling Star","Rolling Star","5","6"
"1259","Will Chope",1990-09-08,"28","Sacramento, California","United States",18,"29","Juggernaut Fight Club","Lightweight","The Kill","The Kill","6","4"
"1260","Quinn Mulhern",1984-09-20,"34","Santa Fe, New Mexico","United States",17,"29","Jackson-Wink MMA","Lightweight","character(0)","character(0)","6","3"
"1261","Dave Galera",NA,NA,"Baguio, Cordillera Administrative Region","Philippines",13,"14","Lakay MMA","Bantamweight","Scarecrow","Scarecrow","5","11"
"1262","Julie Kedzie",1981-03-18,"37","Bloomington, Indiana","United States",7,"14","Jackson-Wink MMA","Bantamweight","Fireball","Fireball","5","5"
"1263","Peggy Morgan",1979-12-06,"38","Manchester, New Hampshire","United States",15,"20","Triumph MMA","Featherweight","The Daywalker","The Daywalker","6","1"
"1264","Jose Maria Tome",1982-01-04,"36","Alto Santo, Ceara","Brazil",6,"9","Team Nogueira","Flyweight","No Chance","No Chance","5","4"
"1265","Rosi Sexton",1977-07-16,"41","Manchester","England",5,"14","Next Generation","Bantamweight","The Surgeon","The Surgeon","5","3"
"1266","Jeremy Larsen",1984-05-18,"34","Phoenix, Arizona","United States",12,"20","Arizona Combat Sports","Featherweight","character(0)","character(0)","5","10"
"1267","Iliarde Santos",1980-09-25,"38","Escada, Pernambuco","Brazil",5,"14","American Top Team / Marajo Brothers","Bantamweight","character(0)","character(0)","5","3"
"1268","Nandor Guelmino",1975-12-20,"42","Vienna","Austria",17,"71","Gym 23","Heavyweight","The Hun","The Hun","6","3"
"1269","Joao Zeferino",1986-01-15,"32","Florianopolis, Santa Catarina","Brazil",13,"29","Rangel Farias Team / Team Zeferino","Lightweight","The Brazilian Samurai","The Brazilian Samurai","5","11"
"1270","Keith Wisniewski",1981-10-25,"36","Portage, Indiana","United States",13,"38","Duneland Vale Tudo","Welterweight","The Polish Connection","The Polish Connection","5","11"
"1271","Yuri Villefort",1991-03-23,"27","Brasilia, Distrito Federal","Brazil",14,"38","Blackzilians","Welterweight","character(0)","character(0)","6","0"
"1272","Ryan Couture",1982-08-27,"36","Las Vegas, Nevada","United States",12,"30","Xtreme Couture","Lightweight","character(0)","character(0)","5","10"
"1273","Sheila Gaff",1989-12-29,"28","Offenbach","Germany",7,"9","Pyranha MMA Offenbach","Flyweight","The German Tank","The German Tank","5","5"
"1274","Josh Clopton",1981-07-11,"37","San Francisco, California","United States",9,"20","Skrap Pack","Featherweight","The Gentleman","The Gentleman","5","7"
"1275","Ednaldo Oliveira",1984-02-19,"34","Salvador, Bahia","Brazil",21,"57","Champion Team / Nordeste Jiu-Jitsu","Light Heavyweight","Lula Molusco","Lula Molusco","6","7"
"1276","Bristol Marunde",1982-04-20,"36","Las Vegas, Nevada","United States",15,"39","Syndicate MMA","Welterweight","character(0)","character(0)","6","1"
"1277","Roger Gracie",1981-09-26,"37","Rio de Janeiro","Brazil",18,"51","Evolve MMA","Middleweight","character(0)","character(0)","6","4"
"1278","Eddie Mendez",NA,NA,"Sun Valley, California","United States",11,"50","House of Champions / Reign MMA","Middleweight","character(0)","character(0)","5","9"
"1279","Roger Hollett",1978-10-08,"39","Halifax, Nova Scotia","Canada",12,"57","Titans MMA / Jackson-Wink MMA","Light Heavyweight","The Hulk","The Hulk","5","10"
"1280","Azamat Gashimov",1990-04-07,"28","Dagestan","Russia",11,"14","Jackson-Wink MMA","Bantamweight","Tough Guy","Tough Guy","5","9"
"1281","Gilbert Smith",1981-10-19,"36","Colorado Springs, Colorado","United States",11,"38","Team Victory","Welterweight","Chocolate Thunder","Chocolate Thunder","5","9"
"1282","Collin Hart",1989-10-12,"28","Santa Rosa, California","United States",16,"50","Nor-Cal Fighting Alliance","Middleweight","character(0)","character(0)","6","2"
"1283","Jimmy Quinlan",1986-05-25,"32","Methuen, Massachusetts","United States",1,"50","Mass BJJ","Middleweight","Crash","Crash","0","0"
"1284","Adam Cella",1985-06-26,"33","St. Louis, Missouri","United States",16,"52","Finney's HIT Squad / Syndicate MMA","Light Heavyweight","El Natural","El Natural","6","2"
"1285","Chris Spang",1987-11-26,"30","Las Vegas, Nevada","United States",16,"39","J-Sect MMA / One Kick's Gym","Welterweight","The Kiss","The Kiss","6","2"
"1286","Besam Yousef",1985-03-25,"33","Gothenburg","Sweden",13,"38","Gladius MMA","Welterweight","character(0)","character(0)","5","11"
"1287","Colin Fletcher",1983-01-08,"35","Sunderland, Tyne and Wear","England",16,"38","Unity Gym / Spartan Gym Sunderland","Welterweight","Freakshow","Freakshow","6","2"
"1288","Caros Fodor",1984-01-07,"34","Kirkland, Washington","United States",11,"30","AMC Pankration","Lightweight","The Future","The Future","5","9"
"1289","Brock Jardine",1985-07-10,"33","Orem, Utah","United States",13,"38","The Pit Elevated Fight Team","Welterweight","The Machine","The Machine","5","11"
"1290","Jon Manley",1986-07-07,"32","Adams, Massachusetts","United States",14,"38","Team Link","Welterweight","character(0)","character(0)","6","0"
"1291","Josh Grispi",1988-10-14,"29","Rockland, Massachusetts","United States",13,"21","South Shore Sport Fighting","Featherweight","The Fluke","The Fluke","5","11"
"1292","Motonobu Tezuka",1987-08-29,"31","Nagano","Japan",9,"14","Cobra Kai MMA Dojo","Bantamweight","character(0)","character(0)","5","7"
"1293","Ulysses Gomez",1983-05-25,"35","Las Vegas, Nevada","United States",7,"9","Marc Laimon's Cobra Kai","Flyweight","Useless","Useless","5","5"
"1294","Jay Hieron",1976-07-29,"42","Long Island, New York","United States",13,"38","Xtreme Couture","Welterweight","The Thoroughbred","The Thoroughbred","5","11"
"1295","Mike Stumpf",1986-08-01,"32","Crystal Lake, Illinois","United States",12,"38","Team Curran","Welterweight","character(0)","character(0)","5","10"
"1296","Milton Vieira",1978-10-04,"40","Rio de Janeiro, Rio de Janeiro","Brazil",14,"20","Rio Fighters","Featherweight","Miltinho","Miltinho","6","0"
"1297","C.J. Keith",1986-08-09,"32","Porterville, California","United States",14,"29","Pro Buhawe","Lightweight","character(0)","character(0)","6","0"
"1298","Byron Bloodworth",1983-08-16,"35","Atlanta, Georgia","United States",11,"14","Iron Clutch Fitness","Bantamweight","character(0)","character(0)","5","9"
"1299","Manuel Rodriguez",1985-04-25,"33","Sydney, Australia","El Salvador",11,"50","TP Fight Team","Middleweight","Chalate","Chalate","5","9"
"1300","Brendan Loughnane",1989-12-05,"28","Manchester, Greater Manchester","England",12,"20","All Powers Gym / Alliance MMA","Featherweight","character(0)","character(0)","5","10"
"1301","Nick Penner",1980-03-26,"38","Blumenort, Manitoba","Canada",14,"57","Frank Lee's Muay Thai","Light Heavyweight","The Quiet Assassin","The Quiet Assassin","6","0"
"1302","Shane del Rosario",1983-09-23,"2013-12-09","Irvine, California","United States",17,"86","Team Oyama","Heavyweight","character(0)","character(0)","6","3"
"1303","John Cofer",1984-04-29,"34","Athens, Georgia","United States",11,"20","Hardcore Gym","Featherweight","The Potter","The Potter","5","9"
"1304","Jared Papazian",1988-02-01,"30","West Hills, California","United States",10,"14","Team Hayastan / Legacy MMA Academy / Gracie Barra Burbank","Bantamweight","The Jackhammer","The Jackhammer","5","8"
"1305","Chad Griggs",1978-05-15,"40","Tucson, Arizona","United States",17,"57","Apex MMA / Fight Legion","Light Heavyweight","The Grave Digger","The Grave Digger","6","3"
"1306","Yasuhiro Urushitani",1976-09-08,"42","Tokyo","Japan",7,"9","Tribe Tokyo MMA","Flyweight","character(0)","character(0)","5","5"
"1307","Tom DeBlass",1982-05-14,"36","Forked River, New Jersey","United States",13,"57","Ricardo Almeida Jiu-Jitsu","Light Heavyweight","character(0)","character(0)","5","11"
"1308","Joey Gambino",1988-10-26,"29","Saugerties, New York","United States",9,"20","Team Raging Warriors","Featherweight","The Raging Warrior","The Raging Warrior","5","7"
"1309","Tommy Hayden",1986-03-11,"32","Cincinnati, Ohio","United States",11,"29","Bangkok Fight Lab","Lightweight","Wild Card","Wild Card","5","9"
"1310","Eiji Mitsuoka",1976-01-01,"42","Handa, Aichi","Japan",9,"20","Wajyutsu Keisyukai RJW","Featherweight","The Heaven-Sent Child of the Cage","The Heaven-Sent Child of the Cage","5","7"
"1311","Oli Thompson",1980-01-02,"38","Hove, East Sussex","England",15,"57","ZT Fight Skool","Light Heavyweight","The Spartan","The Spartan","6","1"
"1312","Damacio Page",1982-09-30,"36","Albuquerque, New Mexico","United States",8,"9","Jackson-Wink MMA","Flyweight","The Angel of Death","The Angel of Death","5","6"
"1313","Josh Ferguson",1988-05-13,"30","Louisville, Kentucky","United States",7,"9","All American MMA","Flyweight","Taz","Taz","5","5"
"1314","Daniel Stittgen",1980-11-17,"37","Schaumburg, Illinois","United States",15,"38","Midwest Training Center","Welterweight","The Anvil","The Anvil","6","1"
"1315","John Alessio",1979-07-05,"39","Vancouver, British Columbia","Canada",12,"29","Xtreme Couture","Lightweight","The Natural","The Natural","5","10"
"1316","Yoislandy Izquierdo",1984-01-09,"34","Havana","Cuba",12,"28","Young Tigers","Lightweight","Cuba","Cuba","5","10"
"1317","Anistavio Medeiros de Figueiredo",1988-05-01,"30","Natal, Rio Grande do Norte","Brazil",9,"20","Independent","Featherweight","Gasparzinho","Gasparzinho","5","7"
"1318","Delson Heleno",1977-11-16,"40","Teresopolis, Rio de Janeiro","Brazil",13,"38","CM System","Welterweight","Pe de Chumbo","Pe de Chumbo","5","11"
"1319","John Teixeira da Conceicao",1986-11-18,"31","Macapa, Amapa","Brazil",9,"20","Nova Uniao","Featherweight","Macapa","Macapa","5","7"
"1320","Wagner Campos",1981-07-31,"37","Pinhais, Parana","Brazil",8,"20","Fight Only","Featherweight","Galeto","Galeto","5","6"
"1321","Luis Ramos",1981-01-18,"37","Rio de Janeiro, Rio de Janeiro","Brazil",10,"38","Nova Uniao","Welterweight","Beicao","Beicao","5","8"
"1322","Ricardo Funch",1980-08-14,"38","Ludlow, Massachusetts","United States",12,"38","Team Link","Welterweight","Golden Boy","Golden Boy","5","10"
"1323","Bernardo Magalhaes",1981-08-04,"37","Rio de Janeiro","Brazil",11,"29","TP Fight Team","Lightweight","Trekko","Trekko","5","9"
"1324","Pat Schilling",1988-08-28,"30","St. Paul, Minnesota","United States",10,"20","Ambition Training Academy","Featherweight","Thrilling","Thrilling","5","8"
"1325","Chris Tickle",1982-02-01,"36","Bloomington, Illinois","United States",11,"33","Adrenaline MMA","Welterweight","Bad Boy","Bad Boy","5","9"
"1326","Chris Saunders",1986-03-11,"32","Buena Park, California","United States",10,"29","All In MMA","Lightweight","The SoCal Kid","The SoCal Kid","5","8"
"1327","Jason Miller",1980-12-24,"37","Mission Viejo, California","United States",14,"50","Team Mayhem / Reign MMA / Kings MMA","Middleweight","Mayhem","Mayhem","6","0"
"1328","Jorge Lopez",1988-11-21,"29","Las Vegas, Nevada","United States",12,"38","Wand Fight Team","Welterweight","Lil' Monster","Lil' Monster","5","10"
"1329","Kamal Shalorus",1977-08-27,"41","Ahmadabad, Ardabil","Iran, Islamic Republic of",10,"29","Kaizen MMA","Lightweight","Prince of Persia","Prince of Persia","5","8"
"1330","Jeff Curran",1977-09-02,"41","Crystal Lake, Illinois","United States",8,"14","Team Curran","Bantamweight","Big Frog","Big Frog","5","6"
"1331","Alex Soto",1984-02-15,"34","San Diego, California","United States",9,"14","KHK MMA Team","Bantamweight","Extremo","Extremo","5","7"
"1332","Eric Wisely",1984-07-25,"34","Clinton, Iowa","United States",10,"24","Team Conquest","Lightweight","Little Lee","Little Lee","5","8"
"1333","John Olav Einemo",1975-12-10,"42","Oslo, Oslo","Norway",20,"91","Golden Glory","Heavyweight","The Viking","The Viking","6","6"
"1334","Dustin Jacoby",1988-04-04,"30","Arenzville, Illinois","United States",18,"50","Finney's HIT Squad","Middleweight","character(0)","character(0)","6","4"
"1335","Joseph Sandoval",1986-05-11,"32","Lubbock, Texas","United States",8,"14","Bighead MMA","Bantamweight","character(0)","character(0)","5","6"
"1336","Stephen Bass",1982-11-14,"35","Shreveport, Louisiana","United States",11,"20","Mad House Gym","Featherweight","Bigfish","Bigfish","5","9"
"1337","Dustin Neace",1986-09-12,"32","Indianapolis, Indiana","United States",11,"21","Damage Incorporated","Featherweight","The Beast","The Beast","5","9"
"1338","Cole Escovedo",1981-08-30,"37","Fresno, California","United States",9,"14","Pacific Martial Arts","Bantamweight","Apache Kid","Apache Kid","5","7"
"1339","Paul Bradley",1983-06-13,"35","San Diego, California","United States",11,"38","Alliance MMA","Welterweight","The Gentleman","The Gentleman","5","9"
"1340","Matt Lucas",1973-12-27,"44","Mesa, Arizona","United States",15,"57","Arizona Combat Sports","Light Heavyweight","Luke Duke","Luke Duke","6","1"
"1341","Edward Faaloloto",1985-07-15,"33","Honolulu, Hawaii","United States",11,"38","Mori Dojo / Team Demolition","Welterweight","Falo","Falo","5","9"
"1342","Daniel Downes",1986-04-08,"32","Milwaukee, Wisconsin","United States",14,"29","Roufusport","Lightweight","Danny Boy","Danny Boy","6","0"
"1343","Donny Walker",1980-01-04,"38","Cleveland, Ohio","United States",11,"20","GriffonRawl Thaiboxing & MMA Academy","Featherweight","Eagle Eye","Eagle Eye","5","9"
"1344","T.J. O'Brien",1987-02-23,"31","Prole, Iowa","United States",16,"29","Des Moines Jiu-Jitsu / Precision Combat Training","Lightweight","The Spider","The Spider","6","2"
"1345","Jason Reinhardt",1969-10-31,"48","Decatur, Illinois","United States",8,"14","Wand Fight Team","Bantamweight","character(0)","character(0)","5","6"
"1346","Jesse Bongfeldt",1980-08-28,"38","Kenora, Ontario","Canada",14,"50","Canadian Martial Arts Centre","Middleweight","Water","Water","6","0"
"1347","Chuck O'Neil",1985-09-22,"33","Bourne, Massachusetts","United States",16,"50","Mass BJJ / Tri-Force MMA","Middleweight","Cold Steel","Cold Steel","6","2"
"1348","Ryan McGillivray",1986-09-27,"32","Edmonton, Alberta","Canada",13,"38","Jackson-Wink MMA","Welterweight","The Kid","The Kid","5","11"
"1349","Charlie Valencia",1974-10-31,"43","Los Angeles, California","United States",5,"14","Millennia MMA","Bantamweight","character(0)","character(0)","5","3"
"1350","Kris McCray",1981-09-24,"37","Toms River, New Jersey","United States",14,"38","Iron Army","Welterweight","Savage","Savage","6","0"
"1351","Todd Brown",1976-12-13,"41","Mishawaka, Indiana","United States",13,"50","Bulldog Fight Team","Middleweight","Bulldog","Bulldog","5","11"
"1352","Tom Blackledge",NA,NA,"Wigan, Greater Manchester","England",14,"57","Wolfslair Academy","Light Heavyweight","character(0)","character(0)","6","0"
"1353","Maciej Jewtuszko",1981-01-31,"37","Szczecin","Poland",14,"29","Berserkers Team","Lightweight","Irokez","Irokez","6","0"
"1354","Antonio Banuelos",1979-09-23,"39","San Luis Obispo, California","United States",5,"9","The Pit","Flyweight","character(0)","character(0)","5","3"
"1355","Gabe Ruediger",1977-08-29,"41","Rancho Cucamonga, California","United States",12,"29","PKG","Lightweight","Godzilla","Godzilla","5","10"
"1356","Willamy Freire",1987-07-28,"31","Fortaleza, Ceara","Brazil",10,"29","Dragon Fight / Nova Uniao","Lightweight","Chiquerim","Chiquerim","5","8"
"1357","Amilcar Alves",1979-12-13,"38","Rio de Janeiro, Rio de Janeiro","Brazil",13,"50","Nova Uniao","Middleweight","character(0)","character(0)","5","11"
"1358","Phil Baroni",1976-04-16,"42","Long Island, New York","United States",11,"38","American Kickboxing Academy","Welterweight","New York Bad Ass","New York Bad Ass","5","9"
"1359","Antonio McKee",1970-03-12,"48","Lakewood, California","United States",10,"29","Bodyshop Fitness Team","Lightweight","Mandingo","Mandingo","5","8"
"1360","Pat Audinwood",1986-04-16,"32","Cortland, New York","United States",14,"29","Team Bombsquad","Lightweight","Awesomely Awesome","Awesomely Awesome","6","0"
"1361","Aaron Wilkinson",1987-01-31,"31","Manchester, Greater Manchester","England",12,"38","Straight Blast Gym","Welterweight","The Daywalker","The Daywalker","5","10"
"1362","Tyler Toner",NA,NA,"Aurora, Colorado","United States",11,"20","Elevation Fight Team","Featherweight","Thunder","Thunder","5","9"
"1363","Sako Chivitchyan",1984-03-11,"34","Glendale, California","United States",1,"30","Team Hayastan","Lightweight","The Chainsaw","The Chainsaw","0","0"
